Date,Open,High,Low,Close,Adj Close,Volume
2003-07-09,164.9,170.4,155.0,164.3,145.82,35164284
2003-07-10,167.0,168.7,164.5,167.0,148.22,10464179
2003-07-11,167.75,174.85,166.25,173.35,153.85,11740117
2003-07-14,174.25,179.25,174.25,177.95,157.94,5982324
2003-07-15,200.0,200.0,173.0,176.2,156.38,6173689
2003-07-16,176.45,179.1,175.35,177.1,157.18,3759085
2003-07-17,177.5,178.0,170.65,172.2,152.83,3814181
2003-07-18,165.0,171.9,160.0,167.4,148.57,5375212
2003-07-21,169.0,169.4,163.05,164.9,146.35,3315845
2003-07-22,164.0,169.15,162.1,167.25,148.44,4627992
2003-07-23,170.5,178.0,169.8,174.7,155.05,13262249
2003-07-24,175.9,177.0,172.85,174.1,154.52,4305936
2003-07-25,174.4,175.0,172.1,173.65,154.12,2832967
2003-07-28,188.0,188.0,175.1,178.85,158.73,5415867
2003-07-29,179.95,182.9,179.1,180.3,160.02,5229181
2003-07-30,181.25,184.75,180.1,181.1,160.73,4632246
2003-07-31,181.7,183.65,179.65,180.85,160.51,3562717
2003-08-01,182.0,189.0,178.75,187.15,166.1,8027285
2003-08-04,187.85,198.5,185.0,197.6,175.38,9982429
2003-08-05,199.0,203.45,192.85,193.6,171.83,9651327
2003-08-06,191.5,197.5,189.85,191.6,170.05,7451054
2003-08-07,193.5,196.0,192.25,195.4,173.42,3223676
2003-08-08,197.0,198.9,196.0,197.15,174.98,2530289
2003-08-11,198.1,203.8,196.0,202.2,179.46,5651311
2003-08-12,203.8,212.0,203.5,210.45,186.78,8215213
2003-08-13,213.0,219.5,212.0,217.8,193.3,7839204
2003-08-14,223.0,224.4,215.0,216.55,192.19,6298655
2003-08-15,216.55,216.55,216.55,216.55,192.19,0
2003-08-18,218.1,221.0,215.4,216.9,192.51,3382031
2003-08-19,219.85,219.9,215.0,215.65,191.4,3080091
2003-08-20,217.4,226.45,217.3,225.0,199.69,6049174
2003-08-21,227.0,228.9,223.3,227.95,202.31,4012069
2003-08-22,228.05,232.8,225.9,229.3,203.51,4436016
2003-08-25,230.0,231.45,216.1,221.05,196.19,4827198
2003-08-26,217.0,235.0,217.0,232.45,206.31,3968069
2003-08-27,235.4,237.6,233.0,234.3,207.95,2267859
2003-08-28,235.75,235.75,226.0,228.05,202.4,3554363
2003-08-29,232.05,238.5,231.5,235.4,208.92,3212067
2003-09-01,236.4,237.0,231.7,235.55,209.06,2478236
2003-09-02,234.85,234.85,224.1,226.55,201.07,3975812
2003-09-03,227.1,231.75,221.0,222.8,197.74,3945233
2003-09-04,223.0,225.7,218.45,221.55,196.63,3682478
2003-09-05,223.9,230.0,222.4,229.3,203.51,2971415
2003-09-08,231.0,233.9,227.15,228.75,203.02,1817991
2003-09-09,230.0,235.0,225.8,228.2,202.53,2034401
2003-09-10,227.75,230.4,225.8,227.8,202.18,1476667
2003-09-11,230.0,230.1,225.0,225.65,200.27,1092801
2003-09-12,228.0,228.5,219.1,220.35,195.57,2496597
2003-09-15,219.0,221.35,207.1,208.35,184.92,3469640
2003-09-16,207.0,210.0,195.1,208.5,185.05,4004037
2003-09-17,212.5,219.5,209.25,216.05,191.75,3800473
2003-09-18,215.9,215.9,203.4,205.6,182.48,2813556
2003-09-19,207.0,210.4,198.8,205.75,182.61,3442717
2003-09-22,206.0,212.8,205.75,210.7,187.0,2575343
2003-09-23,210.3,214.4,208.2,213.15,189.18,1766451
2003-09-24,216.0,221.0,213.1,219.95,195.21,2133208
2003-09-25,220.1,220.1,211.5,213.7,189.67,1916650
2003-09-26,214.4,217.85,213.1,214.8,190.64,2531520
2003-09-29,216.0,229.45,215.15,227.2,201.65,3711837
2003-09-30,230.0,233.35,228.0,232.55,206.4,3594810
2003-10-01,232.0,233.0,227.1,228.45,202.76,2402620
2003-10-02,228.45,228.45,228.45,228.45,202.76,0
2003-10-03,229.0,235.0,228.9,234.4,208.04,2511914
2003-10-06,236.6,242.35,235.0,241.3,214.16,3094324
2003-10-07,244.0,246.4,236.05,237.55,210.83,2440562
2003-10-08,238.75,245.0,237.1,240.25,213.23,1859277
2003-10-09,240.85,259.75,240.85,258.05,229.03,6993550
2003-10-10,260.65,272.4,259.8,269.1,238.83,3707816
2003-10-13,273.0,280.35,272.0,276.1,245.05,3693070
2003-10-14,278.0,278.6,262.8,264.9,235.11,5123854
2003-10-15,264.9,272.7,261.3,270.5,240.08,3478259
2003-10-16,273.7,281.3,272.5,276.2,245.14,4100489
2003-10-17,280.55,286.4,275.45,282.3,250.55,4126840
2003-10-20,282.0,284.8,273.3,274.75,243.85,2192534
2003-10-21,276.1,279.0,257.0,261.25,231.87,3223848
2003-10-22,263.95,279.0,260.55,263.7,234.04,2569557
2003-10-23,264.5,273.25,261.65,263.8,234.13,3114998
2003-10-24,265.0,291.0,260.0,285.0,252.95,5225375
2003-10-27,294.9,298.0,281.6,283.2,251.35,5831782
2003-10-28,283.0,291.9,277.8,286.3,254.1,5640636
2003-10-29,291.45,308.3,286.2,305.0,270.7,7996572
2003-10-30,306.5,310.7,302.0,305.9,271.5,7108567
2003-10-31,307.8,324.2,306.5,322.3,286.05,9924397
2003-11-03,324.0,349.5,324.0,347.6,308.51,9820043
2003-11-04,355.0,356.6,345.2,349.5,310.19,7884723
2003-11-05,350.0,350.0,330.1,336.1,298.3,7280790
2003-11-06,340.0,345.7,334.0,338.45,300.38,6122862
2003-11-07,340.9,343.4,331.25,333.25,295.77,4584798
2003-11-10,337.0,345.0,327.1,341.7,303.27,1953978
2003-11-11,343.75,346.85,338.35,340.7,302.38,3262766
2003-11-12,338.05,347.0,338.05,342.95,304.38,3302571
2003-11-13,344.95,356.7,338.0,346.75,307.75,7982920
2003-11-14,346.0,346.5,326.15,329.3,292.26,4834168
2003-11-17,340.65,353.5,337.0,350.0,310.64,4081415
2003-11-18,353.0,354.4,340.0,344.05,305.36,4672908
2003-11-19,346.0,346.0,329.0,330.6,293.42,4672785
2003-11-20,331.95,339.05,321.0,323.05,286.72,5484243
2003-11-21,324.0,327.0,314.1,324.05,287.6,8100784
2003-11-24,328.7,333.0,324.0,327.25,290.44,5287524
2003-11-25,330.55,338.5,328.65,337.3,299.36,5021011
2003-11-26,337.3,337.3,337.3,337.3,299.36,0
2003-11-27,340.0,347.0,338.4,340.7,302.38,5069219
2003-11-28,343.4,352.0,342.15,344.6,305.84,3606119
2003-12-01,347.25,357.8,346.85,356.05,316.01,4405346
2003-12-02,365.0,367.0,348.1,353.5,313.74,4496428
2003-12-03,356.4,363.9,354.0,357.9,317.65,3993295
2003-12-04,358.25,364.8,355.25,362.4,321.64,4952879
2003-12-05,364.6,367.0,352.2,354.2,314.36,3310018
2003-12-08,356.0,362.0,347.65,355.3,315.34,2681496
2003-12-09,360.0,370.5,356.2,366.4,325.19,2685187
2003-12-10,368.5,372.35,363.25,366.65,325.41,3588806
2003-12-11,370.0,370.4,362.0,364.4,323.42,2250383
2003-12-12,366.7,367.0,357.0,363.5,322.62,3012320
2003-12-15,364.5,366.8,358.5,360.75,320.18,2126368
2003-12-16,361.5,361.5,353.1,357.3,317.11,2089553
2003-12-17,357.0,363.7,355.15,356.95,316.8,2851693
2003-12-18,359.0,365.35,355.7,363.6,322.71,2281018
2003-12-19,366.45,366.85,357.65,359.35,318.93,2514435
2003-12-22,359.0,361.8,356.2,358.0,317.74,2007570
2003-12-23,362.0,375.05,357.5,358.85,318.49,2799280
2003-12-24,360.5,362.9,353.55,355.3,315.34,3127028
2003-12-25,355.3,355.3,355.3,355.3,315.34,0
2003-12-26,360.9,370.95,357.0,369.3,327.77,3181691
2003-12-29,371.0,384.0,371.0,382.75,339.7,3242665
2003-12-30,386.9,386.9,367.5,371.2,329.45,2283787
2003-12-31,373.7,379.0,368.3,375.2,333.0,2088465
2004-01-01,378.0,381.45,374.1,374.95,332.78,2154224
2004-01-02,377.7,385.7,377.2,380.4,337.62,2620056
2004-01-05,383.0,390.4,379.0,380.35,337.57,2978921
2004-01-06,380.05,384.7,365.6,370.05,328.43,1485287
2004-01-07,372.7,385.0,364.5,382.05,339.08,2860924
2004-01-08,386.2,404.95,386.2,400.35,355.32,3536049
2004-01-09,410.0,448.0,406.0,439.7,390.25,7713917
2004-01-12,439.1,445.9,415.85,418.95,371.83,2832076
2004-01-13,420.0,428.0,406.7,423.35,375.74,4974616
2004-01-14,425.0,437.9,425.0,434.2,385.37,3261830
2004-01-15,454.65,454.65,427.4,431.1,382.61,5989636
2004-01-16,434.8,440.0,397.0,401.15,356.03,6106161
2004-01-19,402.1,430.85,391.5,424.4,376.67,7850768
2004-01-20,428.8,431.4,400.05,405.55,359.94,7225533
2004-01-21,406.0,413.9,375.0,381.7,338.77,6790202
2004-01-22,379.0,399.4,366.6,371.4,329.63,7530811
2004-01-23,377.0,420.0,374.5,415.45,368.72,9635197
2004-01-26,415.45,415.45,415.45,415.45,368.72,0
2004-01-27,424.7,437.8,341.1,431.35,382.84,7134689
2004-01-28,436.9,438.8,413.6,418.7,371.61,9705337
2004-01-29,420.0,441.5,414.35,433.8,385.01,10131822
2004-01-30,400.1,444.7,400.1,431.75,383.19,8149375
2004-02-02,431.75,431.75,431.75,431.75,383.19,0
2004-02-03,435.95,442.0,400.55,406.45,360.74,7114870
2004-02-04,410.0,446.0,410.0,442.55,392.78,8958172
2004-02-05,441.0,453.0,427.0,433.5,384.74,9798958
2004-02-06,438.5,450.7,433.75,448.65,398.19,6807818
2004-02-09,445.0,469.9,445.0,465.65,413.28,6506722
2004-02-10,466.1,469.0,452.1,460.65,408.84,6839293
2004-02-11,463.1,475.85,461.0,473.85,420.56,5367067
2004-02-12,474.05,483.8,471.0,480.65,426.59,6110771
2004-02-13,481.5,500.8,474.7,494.3,438.71,6094853
2004-02-16,497.0,522.9,493.5,519.45,461.03,9885540
2004-02-17,517.0,517.9,502.0,510.95,453.48,9302625
2004-02-18,514.25,523.9,513.0,518.2,459.92,6772064
2004-02-19,518.0,518.15,497.15,500.0,443.77,8116787
2004-02-20,494.0,519.5,487.5,512.45,454.82,12516219
2004-02-23,519.85,521.9,491.15,494.85,439.19,8584140
2004-02-24,493.9,505.3,485.55,501.0,444.65,13355180
2004-02-25,501.9,501.95,484.1,488.05,433.16,8753414
2004-02-26,492.7,504.5,488.5,495.6,439.86,7344301
2004-02-27,588.0,588.0,490.35,500.05,443.81,8059826
2004-03-01,502.15,516.0,502.15,514.55,456.68,6091013
2004-03-02,514.55,514.55,514.55,514.55,456.68,0
2004-03-03,517.0,531.65,513.6,529.3,469.77,7811331
2004-03-04,531.0,534.4,517.05,521.4,462.76,6959165
2004-03-05,522.15,531.7,522.0,529.5,469.95,4740249
2004-03-08,531.2,533.85,523.05,524.85,465.82,4088518
2004-03-09,431.0,527.7,431.0,516.6,458.5,4955913
2004-03-10,513.5,516.5,470.1,509.2,451.93,5672162
2004-03-11,504.0,510.9,502.0,505.25,448.43,5651181
